"Department.Code","Department.Name","SubDept.Code","SubDept.Name","Program.Code","Program.Name","Performance.Measure.Code","Performance.Measure.Name","Unit","Budget","Performance.Measure.Amount"
"2","Aging","02LVL5","Aging","202","Family Caregiver Services","02CAREGIVER","Number of Participants in Caregiver Information Sessions",NA,"2017-18 Adopted",8490
"2","Aging","02LVL5","Aging","203","Older Workers Program","02OLDERWORKER","Number of Participants in the Older Workers Program",NA,"2017-18 Adopted",156
"6","Animal Services","06LVL5","Animal Services","601","Animal Control and Law Enforcement","06LICENSE","Number of Animal Licenses Sold",NA,"2017-18 Adopted",137000
"6","Animal Services","06LVL5","Animal Services","602","Shelter Operations and Animal Care","06LIVESAVE","Animal Live/Save Rate","percentage","2017-18 Adopted",85
"6","Animal Services","06LVL5","Animal Services","607","Animal Medical Services","06SPAYNEUTER","Number of Spay/Neuter Surgeries",NA,"2017-18 Adopted",7000
"6","Animal Services","06LVL5","Animal Services","609","Public Counters and Community Services","06VOLUNTEER","Number of Volunteer Hours",NA,"2017-18 Adopted",63250
"8","Building and Safety","08LVL5","Building and Safety","811","Structural Plan Checking","08PLANCHECK","Percent of Plan Check Jobs Completed in 15 Days",NA,"2017-18 Adopted",80
"8","Building and Safety","08LVL5","Building and Safety","812","Green Buildings and Electrical and Mechanical Engineering","08MECHPLANCK","Percent of Mechanical Plan Check Jobs Completed in 15 Days",NA,"2017-18 Adopted",90
"8","Building and Safety","08LVL5","Building and Safety","813","Grading Reports and Inspection","08GRADEREPORT","Percent of New Grading Reports Completed in 30 Days",NA,"2017-18 Adopted",100
"8","Building and Safety","08LVL5","Building and Safety","814","Residential Inspection","08RESINSPECT","Percent of Residential Inspections Completed in 24 Hours",NA,"2017-18 Adopted",93
"8","Building and Safety","08LVL5","Building and Safety","815","Commercial Inspection and Licensing","08PLUMBINSPECT","Percent of Plumbing Inspections Completed in 24 Hours",NA,"2017-18 Adopted",90
"8","Building and Safety","08LVL5","Building and Safety","816","Development Services Case Management","08CASEMGMT","Percent of Case Management Projects Contacted in 5 Days",NA,"2017-18 Adopted",100
"8","Building and Safety","08LVL5","Building and Safety","817","Residential and Commercial Code Enforcement","08COMPLAINT","Percent of Code Enforcement Complaints Closed in 60 Days",NA,"2017-18 Adopted",50
"8","Building and Safety","08LVL5","Building and Safety","818","Conservation of Existing Structures and Mechanical Devices","08RESPROPERTY","Percent of Residential Property Reports Completed in 15 Days",NA,"2017-18 Adopted",100
"10","City Administrative Officer","10LVL5","City Administrative Officer","1001","Budget Formulation and Control","10RF%GF","Reserve Fund as a Percent of the Adopted General Fund Budget",NA,"2017-18 Adopted",5.09
"10","City Administrative Officer","10LVL5","City Administrative Officer","1002","Management Services","10IFAPPS","Percent of Submitted Innovation Fund Applications Reviewed",NA,"2017-18 Adopted",100
"10","City Administrative Officer","10LVL5","City Administrative Officer","1003","Employee Relations Compensation and Benefits","10PAYGRADE","Average Length of Time to Review Pay Grade Advancements","in days","2017-18 Adopted",45
"10","City Administrative Officer","10LVL5","City Administrative Officer","1004","Risk Management","10INSDOCSSUBMIT","Percent of Contractors Self-Submitting Ins Docs - Track4LA",NA,"2017-18 Adopted",95
"10","City Administrative Officer","10LVL5","City Administrative Officer","1006","Debt Management","10DEBTPERCENT","Approved Debt as a Percent of Special Taxes and GF Revenues",NA,"2017-18 Adopted",6.3
"10","City Administrative Officer","10LVL5","City Administrative Officer","1007","Asset Management and Capital Projects","10GF%CIP","Percent of GF Budget Appropriated for Capital Improvements",NA,"2017-18 Adopted",1.23
"10","City Administrative Officer","10LVL5","City Administrative Officer","1008","Proprietary Analysis","10CONREVTIME","Average Length of Time to Complete Contract Review","in days","2017-18 Adopted",42
"13","Cannabis Regulation","13LVL5","Cannabis Regulation","1301","Regulations and Licensing","13CANNABISLICENSES","Number of Cannabis Businesses Licensed",NA,"2017-18 Adopted",200
"14","City Clerk","14LVL5","City Clerk","1401","Council and Public Services","14CITYRECORDS","Number of City Records Viewed",NA,"2017-18 Adopted",2250000
"14","City Clerk","14LVL5","City Clerk","1402","Administration of City Elections","14VOTERAWARE","Number of Public Forums Held to Increase Voter Awareness",NA,"2017-18 Adopted",10
"14","City Clerk","14LVL5","City Clerk","1405","Records Management","14ARCHIVAL","Number of Archival Documents and Records Digitized on Demand",NA,"2017-18 Adopted",600
"14","City Clerk","14LVL5","City Clerk","1406","Special Assessments","14ANNUALPLAN","Number of Annual Planning Reports Submitted by March 1",NA,"2017-18 Adopted",25
"14","City Clerk","14LVL5","City Clerk","1407","Mayor and City Council Administrative Support","14ACCOUNTING","Number of Accounting Documents Processed",NA,"2017-18 Adopted",15500
"17","Ethics Commission","17LVL5","City Ethics Commission","1701","Governmental Ethics","17DISCLOSURE","Percent of Lobbying Disclosure Statements Filed on Time",NA,"2017-18 Adopted",99
"22","Economic and Workforce Development","22LVL5","Economic and Workforce Development","2202","Adult Workforce Development","22ADULTJOBS","Number of WIA-Funded Adults Placed in Jobs",NA,"2017-18 Adopted",10000
"22","Economic and Workforce Development","22LVL5","Economic and Workforce Development","2205","Economic Development","22NEWJOBS","Number of New Jobs Created Through Business Source Centers",NA,"2017-18 Adopted",1364
"22","Economic and Workforce Development","22LVL5","Economic and Workforce Development","2207","Youth Workforce Development","22HIRELA","Number of HireLA's Youth Placed in Employment",NA,"2017-18 Adopted",15000
"26","Controller","26LVL5","Controller","2601","Accounting and Disbursement of City Funds","26DISBURSEMENTS","Paymaster Disbursements",NA,"2017-18 Adopted",350000
"26","Controller","26LVL5","Controller","2602","Financial Reporting of City and Grant Funds","26FINREPORTS","Percent of Financial Reports Submitted On Time",NA,"2017-18 Adopted",100
"26","Controller","26LVL5","Controller","2603","Audits of City Departments and Programs","26AUDITREPORTS","Number of Audit Reports",NA,"2017-18 Adopted",15
"26","Controller","26LVL5","Controller","2604","Support of the City's Financial Systems","26FMSDOCUMENTS","Number of FMS Documents Processed Annually",NA,"2017-18 Adopted",878000
"26","Controller","26LVL5","Controller","2605","Citywide Payroll Administration","26PAYSUPP","Percent of PaySR Problem Tickets Resolved",NA,"2017-18 Adopted",0.7
"30","Cultural Affairs","30LVL5","Cultural Affairs","3001","Community Arts","30ARTFACILITIES","Number of Individuals Served by Arts Facilities and Centers",NA,"2017-18 Adopted",NA
"30","Cultural Affairs","30LVL5","Cultural Affairs","3002","Marketing and Development","30LEVERAGED","Donations Received as a Percent of DCA Operating Budget",NA,"2017-18 Adopted",3.5
"30","Cultural Affairs","30LVL5","Cultural Affairs","3003","Public Art","30ARTPROJECTS","Number of Public Art Projects Completed During the Year",NA,"2017-18 Adopted",10
"30","Cultural Affairs","30LVL5","Cultural Affairs","3004","Grants Program","30RESIDENTS","Number of Los Angeles Residents and Visitors Served","in millions","2017-18 Adopted",3.25
"32","Information Technology Agency","32LVL5","Information Technology Agency","3201","Public Safety Systems Development and Support","32PSSYSTEMS","Percent of System Availability for Public Safety Systems",NA,"2017-18 Adopted",99.92
"32","Information Technology Agency","32LVL5","Information Technology Agency","3202","Public Safety Communications","32PSRADIO","Percent of System Availability for LAFD & LAPD Radio Systems",NA,"2017-18 Adopted",100
"32","Information Technology Agency","32LVL5","Information Technology Agency","3203","Customer Engagement","32311CALLS","Percent of 3-1-1 Calls Answered",NA,"2017-18 Adopted",90
"32","Information Technology Agency","32LVL5","Information Technology Agency","3204","Cable Television","32CH35PROG","Hours of Channel 35 Programming Produced",NA,"2017-18 Adopted",300
"32","Information Technology Agency","32LVL5","Information Technology Agency","3206","Office Systems Support","32EMAIL","Percent of Email System Availability",NA,"2017-18 Adopted",100
"32","Information Technology Agency","32LVL5","Information Technology Agency","3207","Systems Development and Support","32LATAX","Percent of LATAX System Availability in Tax Renewal Season",NA,"2017-18 Adopted",99.9
"32","Information Technology Agency","32LVL5","Information Technology Agency","3208","Enterprise and Distributed Systems and Operation","32DATACENTER","Percent of Data Center Servers Virtualized",NA,"2017-18 Adopted",85
"32","Information Technology Agency","32LVL5","Information Technology Agency","3209","Network Engineering and Operations","32VOICE","Percent of Voice, Call Center, & Video Systems Availability",NA,"2017-18 Adopted",100
"32","Information Technology Agency","32LVL5","Information Technology Agency","3210","Data Engineering and Operations","32NETWORK","Percent of Network Availability",NA,"2017-18 Adopted",99.7
"32","Information Technology Agency","32LVL5","Information Technology Agency","3211","Business Applications and Web Services","32WEBSITE","Percent of LACity.org Website Availability",NA,"2017-18 Adopted",100
"33","El Pueblo de Los Angeles","33LVL5","El Pueblo de Los Angeles","3301","History and Museums","33ELPTOURS","Number of Tours at the El Pueblo Monument",NA,"2017-18 Adopted",10000
"33","El Pueblo de Los Angeles","33LVL5","El Pueblo de Los Angeles","3302","Marketing and Events","33ELPATTEND","Number of Cultural, Traditional, and Informational Attendees",NA,"2017-18 Adopted",NA
"33","El Pueblo de Los Angeles","33LVL5","El Pueblo de Los Angeles","3348","Property Management","33PERCENTWO","Percent of Work Orders Completed",NA,"2017-18 Adopted",85
"35","Emergency Management","35LVL5","Emergency Management","3501","Emergency Management","35COMMUNITYPLAN","Number of Neighborhood/Community Plans Prepared",NA,"2017-18 Adopted",50
"35","Emergency Management","35LVL5","Emergency Management","3501","Emergency Management","35NOTIFYLA","Number of New Subscribers Registered for NotifyLA",NA,"2017-18 Adopted",20000
"36","Employee Relations Board","36LVL5","Employee Relations Board","3601","Employee Relations","36UERP","Number of UERP Related Filings",NA,"2017-18 Adopted",105
"38","Fire","38LVL5","Fire","3801","Arson Investigation and Counter-Terrorism","38INVESTIGATION","Percentage Convictions in Arson Cases",NA,"2017-18 Adopted",85
"38","Fire","38LVL5","Fire","3803","Fire Suppression","38FIRETRAVEL","Average Travel Time to Fire Incident","in minutes.seconds","2017-18 Adopted",4
"38","Fire","38LVL5","Fire","3803","Fire Suppression","38FIRETURNOUT","Average Time to Leave Station after Notified - Fire Incident","in minutes.seconds","2017-18 Adopted",1
"38","Fire","38LVL5","Fire","3804","Metropolitan Fire Communications","38DISPATCH","Call Processing Time","in minutes","2017-18 Adopted",1
"38","Fire","38LVL5","Fire","3805","Hazardous Materials Enforcement","38REVENUE","Hazardous Materials Enforcement Revenue Collected","in millions","2017-18 Adopted",6
"38","Fire","38LVL5","Fire","3806","Fire Prevention","38INSPECTION","Percent of Construction Inspections Completed in 72 hours",NA,"2017-18 Adopted",95
"38","Fire","38LVL5","Fire","3808","Emergency Medical Service","38EMSTRAVEL","Average Travel Time to EMS Incident","in minutes.seconds","2017-18 Adopted",4
"38","Fire","38LVL5","Fire","3808","Emergency Medical Service","38EMSTURNOUT","Average Time to Leave Station after Notified - EMS Incident","in minutes.seconds","2017-18 Adopted",1
"38","Fire","38LVL5","Fire","3847","Training","38TRAINING","Recruit Class Retention Rate","percentage","2017-18 Adopted",80
"38","Fire","38LVL5","Fire","3848","Procurement, Maintenance and Repair","38FLEET","Fleet Availability Rate","percentage","2017-18 Adopted",84
"39","Finance","39LVL5","Finance","3901","Revenue Management","39LIEN","Percent of Lien Cases Solved",NA,"2017-18 Adopted",75
"39","Finance","39LVL5","Finance","3902","Treasury Services","39TREASURY","Percent of Treasury Management Requests Resolved in One Day",NA,"2017-18 Adopted",80
"39","Finance","39LVL5","Finance","3905","LATAX System Support","39LATAX","Number of Renewals Processed in LATAX",NA,"2017-18 Adopted",672000
"39","Finance","39LVL5","Finance","3906","Customer Support","39CALLS","Percent of Call Center Calls Answered",NA,"2017-18 Adopted",85
"39","Finance","39LVL5","Finance","3908","Investment","39EFFECTIVEYIELD","Effective Yield Relative to other California Municipalities","quartiles","2017-18 Adopted",4
"39","Finance","39LVL5","Finance","3909","Tax and Permit","39AUDIT","Percent of Accounts Audited",NA,"2017-18 Adopted",7
"40","General Services","40LVL5","General Services","4001","Custodial Services","40CLEAN","Percent of Municipal Facilities Cleaned Daily",NA,"2017-18 Adopted",100
"40","General Services","40LVL5","General Services","4002","Building Maintenance","40ENERGYAUDITS","Number of Energy Audits Completed",NA,"2017-18 Adopted",20
"40","General Services","40LVL5","General Services","4003","Construction Forces","40CONSTESTIMATE","Construction Projects Completed within Original Estimate","Percentage","2017-18 Adopted",75
"40","General Services","40LVL5","General Services","4004","Real Estate Services","40ASSETMGMT","Asset Management System Implementation Tasks Completed","Percentage","2017-18 Adopted",100
"40","General Services","40LVL5","General Services","4005","Parking Services","40PARKINGREV","Revenue from Department-Operated Parking Facilities","in millions of dollars","2017-18 Adopted",12
"40","General Services","40LVL5","General Services","4007","Emergency Management and Special Services","40DRILLS1","Number of Required Biannual Emergency Drills Completed","at Six City Highrise Buildings","2017-18 Adopted",12
"40","General Services","40LVL5","General Services","4008","Fleet Services","40BOSVEHICLES","Vehicle Availability Rate for Bureau of Sanitation","percentage","2017-18 Adopted",85
"40","General Services","40LVL5","General Services","4009","Fuel and Environmental Compliance","40FUELSITE","Percent of City-Owned Fuel Sites Inspected Monthly",NA,"2017-18 Adopted",100
"40","General Services","40LVL5","General Services","4010","Standards and Testing Services","40MATTEST","Number of Materials Tested for Pavement Preservation Program",NA,"2017-18 Adopted",130000
"40","General Services","40LVL5","General Services","4011","Supply Management","40POS","Number of Days to Process Purchase Orders under $100,000",NA,"2017-18 Adopted",40
"40","General Services","40LVL5","General Services","4012","Mail Services","40POSTAGE","Postage Savings Derived from the Mail Automation Program","in millions of dollars","2017-18 Adopted",1
"43","Housing and Community Investment","43LVL5","Housing and Community Investment","4301","Finance and Development","43AFFORDABLE","Affordable Housing Units Completed",NA,"2017-18 Adopted",1087
"43","Housing and Community Investment","43LVL5","Housing and Community Investment","4302","Affordable Housing Asset Management","43COVENANTS","Affordable Housing Covenants Extended",NA,"2017-18 Adopted",493
"43","Housing and Community Investment","43LVL5","Housing and Community Investment","4305","Rent Stabilization","43TENANT","Percent of Tenant Rent Complaints Resolved Within 120 Days",NA,"2017-18 Adopted",90
"43","Housing and Community Investment","43LVL5","Housing and Community Investment","4306","Multi-family Residential Code Enforcement","43SCEPUNIT","Systematic Code Enforcement Program (SCEP) Units Inspected",NA,"2017-18 Adopted",180000
"43","Housing and Community Investment","43LVL5","Housing and Community Investment","4307","Code and Rent Compliance","43RENTAL","Rental Units Restored to Safe Living Conditions",NA,"2017-18 Adopted",10500
"43","Housing and Community Investment","43LVL5","Housing and Community Investment","4311","Monitoring and Technical Services","43DVVICTIM","Number of Domestic Violence Victims Served through Program",NA,"2017-18 Adopted",1200
"44","Library","44LVL5","Library","4401","Branch Library Services","44BRANCH","Number of People Attending Branch Library Programs",NA,"2017-18 Adopted",342000
"44","Library","44LVL5","Library","4402","Central Library Services","44CENTRAL","Number of People Attending Central Library Programs",NA,"2017-18 Adopted",37000
"47","Neighborhood Empowerment","47LVL5","Neighborhood Empowerment","4703","Planning and Policy","47CIS","Number of Community Impact Statements Submitted by NCs",NA,"2017-18 Adopted",300
"48","Convention and Tourism Development","48LVL5","Convention and Tourism Development","4803","Convention and Tourism Development","48LEISUREJOBS","Number of Leisure and Hospitality Jobs in Los Angeles County",NA,"2017-18 Adopted",533640
"65","Disability","65LVL5","Disability","6501","ADA Compliance","65SLICART","Percentage of SLI and CART Requests Filled",NA,"2017-18 Adopted",90
"65","Disability","65LVL5","Disability","6503","Community Affairs and Outreach","65OUTREACH","Percentage of Resource Center Inquiries Filled",NA,"2017-18 Adopted",95
"65","Disability","65LVL5","Disability","6504","AIDS Coordinator's Office","65SYRINGE","Number of Syringes Removed","in millions","2017-18 Adopted",1
"66","Personnel","66LVL5","Personnel","6601","Public Safety Employment","66POLICEHIRE","Number of Police Officers Hired Pursuant to LAPD Hiring Plan",NA,"2017-18 Adopted",600
"66","Personnel","66LVL5","Personnel","6602","Employee Selection","66EXAM","Percent of Exams Completed in 150 Days",NA,"2017-18 Adopted",90
"66","Personnel","66LVL5","Personnel","6603","Workers' Compensation and Safety","66WCCOST","Amount of Monthly Workers' Compensation Costs Avoided",NA,"2017-18 Adopted",1200000
"66","Personnel","66LVL5","Personnel","6604","Employee Benefits","66VANPOOL","Percent Increase in Vanpool Participants",NA,"2017-18 Adopted",5
"66","Personnel","66LVL5","Personnel","6605","Occupational Health","66CLINIC","Wait Time at Clinic for Exam","in minutes","2017-18 Adopted",70
"66","Personnel","66LVL5","Personnel","6606","Custody Medical Care","66ARRESTEE","Time to Medically Clear Arrestees in City Jails","in minutes","2017-18 Adopted",11
"66","Personnel","66LVL5","Personnel","6607","Equal Employment Opportunity","66EEOCOMPLAIN","Percent of Complainants Contacted Within 10 Days",NA,"2017-18 Adopted",90
"66","Personnel","66LVL5","Personnel","6608","Employee Training and Development","66ONLINE","Number of Non-Mandated Courses Completed Online",NA,"2017-18 Adopted",6186
"66","Personnel","66LVL5","Personnel","6609","Liaison Services","66HIRELENGTH","Number of Days from Start of Hiring Process to Job Offer",NA,"2017-18 Adopted",60
"68","City Planning","68LVL5","City Planning","6801","Citywide Planning","68ELEMENT","Number of State Mandated Elements Less Than Eight Years Old",NA,"2017-18 Adopted",3
"68","City Planning","68LVL5","City Planning","6802","Community Planning","68COMMUNITYPLANS","Number of Community Plans Less Than Ten Years Old",NA,"2017-18 Adopted",9
"68","City Planning","68LVL5","City Planning","6803","Historic Resources","68CERTIFICATE","Percent of Certificate Cases Completed within 75 Days",NA,"2017-18 Adopted",25
"68","City Planning","68LVL5","City Planning","6804","Development Services","68CUSTOMER","Annual Number of Customers Served",NA,"2017-18 Adopted",70031
"68","City Planning","68LVL5","City Planning","6805","Neighborhood Initiatives and Transit Oriented Planning","68TRANSIT","Percent of Phase 2 Transit Neighborhood Plans Completed",NA,"2017-18 Adopted",70
"68","City Planning","68LVL5","City Planning","6806","Geographic Project Planning","68CASES","Annual Number of Cases Completed",NA,"2017-18 Adopted",3593
"68","City Planning","68LVL5","City Planning","6807","Major Projects and Project Plan Support","68EIRS","Entitlement Cases Requiring an Environmental Impact Report",NA,"2017-18 Adopted",25
"70","Police","70LVL5","Police","7001","Field Forces","70CRIME","Total Number of Crime Incidents",NA,"2017-18 Adopted",124768
"70","Police","70LVL5","Police","7003","Specialized Investigation","70GANG","Number of Gang-Related Homicides",NA,"2017-18 Adopted",160
"70","Police","70LVL5","Police","7004","Custody of Persons and Property","70BOOKING","Average Processing Time for Non-Medical Bookings","in minutes","2017-18 Adopted",10
"70","Police","70LVL5","Police","7005","Traffic Control","70HITRUN","Number of Traffic Hit and Run Collisions",NA,"2017-18 Adopted",28000
"70","Police","70LVL5","Police","7006","Specialized Enforcement and Protection","70ARRESTS","Metropolitan Division Felony and Misdemeanor Arrests",NA,"2017-18 Adopted",11844
"70","Police","70LVL5","Police","7047","Personnel Training and Support","70WORKERCOMP","Number of Workers' Compensation Claims",NA,"2017-18 Adopted",3435
"70","Police","70LVL5","Police","7051","Internal Integrity and Standards Enforcement","70INTERNAL","Internal Affairs Investigations Closed within Five Months","percentage","2017-18 Adopted",80
"74","Board of Public Works","74LVL5","Board of Public Works","7401","Office of Community Beautification","74GRAFFITI","Percent of Graffiti Removal Requests Completed in 48 Hours",NA,"2017-18 Adopted",90
"74","Board of Public Works","74LVL5","Board of Public Works","7401","Office of Community Beautification","74GRAFFITI-24HRS","Percent of Graffiti Removal Requests Completed in 24 Hours",NA,"2017-18 Adopted",75
"74","Board of Public Works","74LVL5","Board of Public Works","7403","Public Works Accounting","74PAYMENTS","Percentage of All Payments Processed within 30 Days",NA,"2017-18 Adopted",90
"74","Board of Public Works","74LVL5","Board of Public Works","7405","Public Works Board and Board Secretariat","74JOURNALS","Percent of Board Meeting Journals Posted within 24 Hours",NA,"2017-18 Adopted",100
"76","Bureau of Contract Administration","76LVL5","Bureau of Contract Administration","7601","Construction Inspection","76RETENTION","Number of Days for Final Retention Requests to be Processed",NA,"2017-18 Adopted",4
"76","Bureau of Contract Administration","76LVL5","Bureau of Contract Administration","7602","Contract Compliance","76LOCALHIRE","Percent of Hours Worked by Local Hires at PLA Projects",NA,"2017-18 Adopted",40
"78","Bureau of Engineering","78LVL5","Bureau of Engineering","7803","Clean Water Infrastructure","78WATER","Number of Completed Clean Water Capital Projects",NA,"2017-18 Adopted",47
"78","Bureau of Engineering","78LVL5","Bureau of Engineering","7804","Development Services and Permits","78APERMIT","Percent of A Permits Issued within 60 Minutes",NA,"2017-18 Adopted",80
"78","Bureau of Engineering","78LVL5","Bureau of Engineering","7805","Mobility","78MOBILITY","Number of Completed Mobility Capital Projects",NA,"2017-18 Adopted",16
"78","Bureau of Engineering","78LVL5","Bureau of Engineering","7807","Public Buildings and Open Spaces","78BUILDING","Number of Completed Building & Open Spaces Capital Projects",NA,"2017-18 Adopted",16
"82","Bureau of Sanitation","82LVL5","Bureau of Sanitation","8201","Watershed Protection","82CATCHBASIN","Number of Catch Basins Cleaned",NA,"2017-18 Adopted",90000
"82","Bureau of Sanitation","82LVL5","Bureau of Sanitation","8202","Clean Water","82SEWER","Sewer Miles Cleaned",NA,"2017-18 Adopted",6750
"82","Bureau of Sanitation","82LVL5","Bureau of Sanitation","8203","Solid Resources","82RECYCLING","Citywide Landfill Diversion Rate","percentage","2017-18 Adopted",76
"82","Bureau of Sanitation","82LVL5","Bureau of Sanitation","8204","Environmental Quality","82CLOSEOUT","Average Number of Days to Close Out a Service Request",NA,"2017-18 Adopted",21
"84","Bureau of Street Lighting","84LVL5","Bureau of Street Lighting","8401","Design and Construction","84LEDPERCENT","Percentage of Streetlights Converted to LED",NA,"2017-18 Adopted",88
"84","Bureau of Street Lighting","84LVL5","Bureau of Street Lighting","8402","System Operation, Maintenance, and Repair","84OUTAGE","Single Streetlight Outage Response Time","in working days","2017-18 Adopted",2
"84","Bureau of Street Lighting","84LVL5","Bureau of Street Lighting","8403","Street Lighting Assessment","84SLMAF","Street Lighting Maintenance Assessment Fund Revenue","in millions","2017-18 Adopted",46
"86","Bureau of Street Services","86LVL5","Bureau of Street Services","8602","Investigation and Enforcement","86PERMIT","Number of Permits and Notices Issued",NA,"2017-18 Adopted",32000
"86","Bureau of Street Services","86LVL5","Bureau of Street Services","8603","Street Sweeping","86SWEEPING","Percent of Posted Street Sweeping Routes Completed",NA,"2017-18 Adopted",95
"86","Bureau of Street Services","86LVL5","Bureau of Street Services","8604","Street Tree and Parkway Maintenance","86TREELIMB","Average Working Days to Complete Tree Emergencies",NA,"2017-18 Adopted",3
"86","Bureau of Street Services","86LVL5","Bureau of Street Services","8605","Maintaining Streets","86POTHOLE","Average Number of Working Days to Repair Potholes",NA,"2017-18 Adopted",3
"86","Bureau of Street Services","86LVL5","Bureau of Street Services","8606","Pavement Preservation","86SLURRY","Number of Lane Miles Resurfaced and Slurry Sealed",NA,"2017-18 Adopted",2400
"86","Bureau of Street Services","86LVL5","Bureau of Street Services","8607","Street Improvement Construction","86NEWSIDEWALK","Square Foot of New Sidewalk Constructed",NA,"2017-18 Adopted",NA
"86","Bureau of Street Services","86LVL5","Bureau of Street Services","8608","Street Improvement Engineering","86DESIGN","Value of Design-Build Projects Completed","in millions of dollars","2017-18 Adopted",15
"87","Zoo","87LVL5","Zoo","8701","Animal General Care","87EXHIBIT","Percent of Animal Exhibits in Operation",NA,"2017-18 Adopted",90
"87","Zoo","87LVL5","Zoo","8702","Animal Health Care","87HEALTH","Number of Animal Preventative Health Exams Conducted",NA,"2017-18 Adopted",250
"87","Zoo","87LVL5","Zoo","8703","Admissions","87ONLINE","Percent of Ticket Sale Transactions Conducted Online",NA,"2017-18 Adopted",10
"87","Zoo","87LVL5","Zoo","8704","Grounds Maintenance","87BRUSHORDER","Number of Brush Clearance Work Orders Completed",NA,"2017-18 Adopted",12
"87","Zoo","87LVL5","Zoo","8705","Custodial Services","87CLEAN","Percent of ""Excellent"" Rating For Facility Cleanliness",NA,"2017-18 Adopted",80
"87","Zoo","87LVL5","Zoo","8706","Public Relations and Marketing","87FILM","Number of Commercial Film Shoots at the Zoo",NA,"2017-18 Adopted",10
"87","Zoo","87LVL5","Zoo","8707","Education","87ENGAGE","Percent of ""Excellent"" Rating for Visitor Engagement",NA,"2017-18 Adopted",76
"87","Zoo","87LVL5","Zoo","8708","Planning, Development and Construction","87CONSTRUCTION","Number of Construction Work Orders Completed",NA,"2017-18 Adopted",200
"88","Recreation and Parks","88LVL5","Recreation and Parks","8801","Museums and Educational","88MUSEUM","Number of Annual Museum Visitors","Excluding Griffith Observatory","2017-18 Adopted",537000
"88","Recreation and Parks","88LVL5","Recreation and Parks","8802","Griffith Observatory","88GRIFFITH","Number of Griffith Observatory Visitors",NA,"2017-18 Adopted",1420000
"88","Recreation and Parks","88LVL5","Recreation and Parks","8807","Aquatics","88AQUATIC","Total Attendance at City Aquatic Facilities",NA,"2017-18 Adopted",1350000
"88","Recreation and Parks","88LVL5","Recreation and Parks","8809","Building and Facilities Maintenance","88JOBORDER","Maintenance Job Orders Completed",NA,"2017-18 Adopted",28300
"88","Recreation and Parks","88LVL5","Recreation and Parks","8810","Land Maintenance","88PARKSMAINTAINED","Number of Parks Maintained",NA,"2017-18 Adopted",461
"88","Recreation and Parks","88LVL5","Recreation and Parks","8811","Capital Projects and Planning","88WALKABLEPARK","Additional Residents Served by Park within Walking Distance",NA,"2017-18 Adopted",16000
"88","Recreation and Parks","88LVL5","Recreation and Parks","8812","Expo Center","88EXPO","Number of EXPO Center Visitors",NA,"2017-18 Adopted",503000
"88","Recreation and Parks","88LVL5","Recreation and Parks","8813","Partnerships, Grants, and Sponsorships","88PARTICIPANTS","Increase in the Number of Participants from Collaborations",NA,"2017-18 Adopted",165000
"88","Recreation and Parks","88LVL5","Recreation and Parks","8820","Recreational Programming","88SPORTS","Number of Youth and Adult Sports Program Registrations",NA,"2017-18 Adopted",NA
"88","Recreation and Parks","88LVL5","Recreation and Parks","8821","Venice Beach","88VENICE","Number of Annual Visitors",NA,"2017-18 Adopted",10500000
"88","Recreation and Parks","88LVL5","Recreation and Parks","8823","Public Safety","88SAFE","Percent of Visitors Feeling 'Safe' or 'Very Safe'",NA,"2017-18 Adopted",80
"88","Recreation and Parks","88LVL5","Recreation and Parks","8824","City Services","88SNLPARTICIPANTS","Number of Summer Night Lights Participants",NA,"2017-18 Adopted",521000
"94","Transportation","94LVL5","Transportation","9401","Sustainable Transportation","94BIKE","Number of Trips per Bike per Day",NA,"2017-18 Adopted",75
"94","Transportation","94LVL5","Transportation","9402","Transportation Planning and Land Use","94STUDIES","Percent of Traffic Studies Processed within 90 Business Days",NA,"2017-18 Adopted",100
"94","Transportation","94LVL5","Transportation","9403","Transportation Infrastructure and Project Delivery","94VALUE","Total Value of Active Projects",NA,"2017-18 Adopted",150981253
"94","Transportation","94LVL5","Transportation","9404","Parking Facilities, Meters, and Operations","94METERS","Percent of Time Parking Meters are Functioning Properly",NA,"2017-18 Adopted",99.5
"94","Transportation","94LVL5","Transportation","9406","Parking Citation Processing Services","94TICKET","Two Year Parking Ticket Collection Rate","percentage","2017-18 Adopted",86
"94","Transportation","94LVL5","Transportation","9407","Streets and Sign Management","94SIGN","Number of Sign Maintenance & Installation Projects Completed",NA,"2017-18 Adopted",18000
"94","Transportation","94LVL5","Transportation","9408","District Offices","94SERVICE","Number of Service Requests Closed",NA,"2017-18 Adopted",17265
"94","Transportation","94LVL5","Transportation","9409","Traffic Signals and Systems","94SIGNAL","Percent of Signal Calls Responded to Within One Hour",NA,"2017-18 Adopted",92
"94","Transportation","94LVL5","Transportation","9412","Public Transit Services","94TRANSIT","Percent of LADOT Transit On-Time Arrivals",NA,"2017-18 Adopted",85
"94","Transportation","94LVL5","Transportation","9413","Major Project Coordination","94METRO","Percent of Metro Plans Reviewed within 20 Business Days",NA,"2017-18 Adopted",95
"94","Transportation","94LVL5","Transportation","9414","Emergency Management and Special Events","94EVENTS","Number of Special Events Requiring Traffic Engineering",NA,"2017-18 Adopted",6000
